 TUT_BAS_CHAPTER01_PAGE05_OBJECTIVES: "To continue you must §MZoom out§! so you can see all of Europe."
 TUT_BAS_CHAPTER03_PAGE11_OBJECTIVES: "Select any §MLand unit§! from the list to the left and §MRecruit 5 regiments§! to continue." 
 TUT_BAS_CHAPTER04_PAGE02_TEXT: "Move your troops into the Leinster province to engage their army. You must also besiege and occupy their province before you can continue. If you want to bring all your troops you will have to ferry them over and merge them into one army.\n\n§YRemember to unpause the game.§!" 
 TUT_ADV_CHAPTER01_PAGE16_TITLE: "§YEnd of Chapter (16/16)§!"
 TUT_ADV_CHAPTER01_PAGE16_TEXT: "Mapmodes will change the information given to you on the world map. The next chapter will go through them in more detail."
 TUT_ADV_CHAPTER01_PAGE16_OBJECTIVES: "Click §MNext§! to continue to the next chapter.§W"
 TUT_ADV_CHAPTER02_PAGE07_OBJECTIVES: "Click §MNext§! to continue." 
 TUT_ADV_CHAPTER03_PAGE01_OBJECTIVES: "Click §MVenezia§! to continue."
 TUT_ADV_CHAPTER03_PAGE07_TITLE: "§YTrade Power (7/11)§!"
 TUT_ADV_CHAPTER03_PAGE07_TEXT: "Trade Power directly affects how large portion of trade in a Trade Node you control. Trade Power comes from §Mprovinces§! and from §MLight Ships§! that are protecting trade. There are also Ideas and a §MDiplomatic Advisor§! that affect §MGlobal Trade Power§!."
 TUT_ADV_CHAPTER03_PAGE07_OBJECTIVES: "Select your §Mships§! in port in Venezia."
 TUT_ADV_CHAPTER03_PAGE08_TITLE: "§YProtect Trade (8/11)§!"
 TUT_ADV_CHAPTER03_PAGE08_TEXT: "Light ships can be ordered to Protect Trade. This means they will patrol the Trade Node and increase the amount of Trade Power you have in that node. Having your ships Protect Trade is very important for increasing trade income."
 TUT_ADV_CHAPTER03_PAGE08_OBJECTIVES: "Have your ships §MProtect Trade§! in a Trade Node." 
 TUT_CAM_CHAPTER01_PAGE01_TITLE: "§YRecruitment (1/8)§!"
 TUT_CAM_CHAPTER01_PAGE01_TEXT: "Army recruitment is an important aspect of going to war. Recruitment progress takes place in a province, but can be started in two ways. Either through the §MProduction Interface§! in the top-left or by clicking the §MRecruit Regiment§! button in a province. Each regiment costs 1000 Manpower."
 TUT_CAM_CHAPTER01_PAGE01_OBJECTIVES: "§YClick the §MProduction Interface§Y in the top-left to continue."
 TUT_CAM_CHAPTER01_PAGE02_TITLE: "§YRecruitment (2/8)§!"
 TUT_CAM_CHAPTER01_PAGE02_TEXT: "Select a regiment from the list to the left and click the green provinces to start recruitment. Each regiment costs 1000 Manpower as well as ducats.\n\n§YRemember to unpause the game.§!"
 TUT_CAM_CHAPTER01_PAGE02_OBJECTIVES: "§MRecruit 5 Land units§! to continue."
 TUT_CAM_CHAPTER01_PAGE05_TITLE: "§YWar Overview (5/8)§!"
 TUT_CAM_CHAPTER01_PAGE05_TEXT: "The War Overview window gives you an overview of how the war is going, who the belligerents are and who is the war leader of each side. Battles and sieges are listed in the bottom."
 TUT_CAM_CHAPTER01_PAGE05_OBJECTIVES: "Click §MNext§! to continue."
 TUT_CAM_CHAPTER02_PAGE02_TITLE: "§YAdvisors (2/18)§!"
 TUT_CAM_CHAPTER02_PAGE02_TEXT: "Advisors boost how many §MMonarch Points§! you gain each month. They cost gold to hire and you also pay them salaries each month. Hiring a more expensive advisor will give you more monthly Monarch Points, but you will gain less gold each month.\n\n§YClick the §MYou have a free Advisor Slot alert§! to go to the §MGovernment§! tab.§W"
 TUT_CAM_CHAPTER02_PAGE02_OBJECTIVES: "Open the §MGovernment tab§! to continue."
 TUT_CAM_CHAPTER02_PAGE03_TITLE: "§YAdvisors (3/18)§!"
 TUT_CAM_CHAPTER02_PAGE03_TEXT: "Advisors boost how many §MMonarch Points§! you gain each month. They cost gold to hire and you also pay them salaries each month. Hiring a more expensive advisor will give you more monthly Monarch Points, but you will gain less gold each month.\n\n§YClick the empty portraits to go to the list of available advisors.§W"
 TUT_CAM_CHAPTER02_PAGE03_OBJECTIVES: "§MHire an advisor§! to continue." 
 TUT_CAM_CHAPTER02_PAGE13_TITLE: "§YTechnology (13/18)§!"
 TUT_CAM_CHAPTER02_PAGE13_TEXT: "Technology can be unlocked by spending §MMonarch Points§!. Technology is divided into §Mthree categories§! and each category is associated with one of the three Monarch Points.§!"
 TUT_CAM_CHAPTER02_PAGE13_OBJECTIVES: "Open the §MTechnology tab§! to continue."
 TUT_CAM_CHAPTER02_PAGE14_TITLE: "§YTechnology (14/18)§!"
 TUT_CAM_CHAPTER02_PAGE14_TEXT: "Being ahead in Technology will give you a penalty to Technology costs. It is a good idea to plan Technology and Ideas so that the ones you want do not require the same Monarch Points. It is also good to plan in accordance with your Ruler's abilities."
 TUT_CAM_CHAPTER02_PAGE14_OBJECTIVES: "Unlock §MNoble Republic (7)§! to continue."
 TUT_CAM_CHAPTER02_PAGE15_TITLE: "§YIdea Groups (15/18)§!"
 TUT_CAM_CHAPTER02_PAGE15_TEXT: "Idea Groups can be chosen at specific intervals depending on your §MAdministrative Technology§!. The technology you just researched unlocked your second Idea Group. Idea groups are a way of specializing your country and to make it more unique and stronger at performing certain tasks."
 TUT_CAM_CHAPTER02_PAGE15_OBJECTIVES: "Open the §MIdeas tab§! to continue."
 TUT_CAM_CHAPTER02_PAGE16_TITLE: "§YIdea Groups (16/18)§!"
 TUT_CAM_CHAPTER02_PAGE16_TEXT: "Unlocking an Idea in an Idea Group costs §M400 Monarch Points§! of either §MAdministrative§!, §MDiplomatic§! or §MMilitary Power§!. Which Monarch Points are used depends on the Idea Group. It is a good idea to choose an Idea Group that uses Monarch Points of the type you have plenty of.\n\n§YClick the §MFree Slot§! button and then select the §MExploration Ideas§!.§W"
 TUT_CAM_CHAPTER02_PAGE16_OBJECTIVES: "Select the §MExploration§! Idea Group to continue."
 TUT_CAM_CHAPTER02_PAGE17_TITLE: "§YIdeas (17/18)§!"
 TUT_CAM_CHAPTER02_PAGE17_TEXT: "Unlocking 3 Ideas will also unlock 1 of your §MNational Ideas§!. Most of the larger nations, and some of the smaller ones, have special National Ideas. \n\n§MQuest for the New World§Y is an Idea in the §MExploration§Y Idea Group that allows you to recruit §MExplorers§Y & §MConquistadors§Y. It requires you to first unlock the §MColonial Ventures§Y idea."
 TUT_CAM_CHAPTER02_PAGE17_OBJECTIVES: "Unlock the §MQuest for the New World§! idea to continue."
 TUT_CAM_CHAPTER03_PAGE01_TITLE: "§YExploration (1/8)§!"
 TUT_CAM_CHAPTER03_PAGE01_TEXT: "Exploration and Colonization is an important part in Europa Universalis IV. Discovering new lands and founding new settlements is a relatively peaceful way of expanding your Empire. "
 TUT_CAM_CHAPTER03_PAGE01_OBJECTIVES: "Click §MNext§! to continue."
 TUT_CAM_CHAPTER03_PAGE02_TITLE: "§YExploration (2/8)§!"
 TUT_CAM_CHAPTER03_PAGE02_TEXT: "Uncharted lands are hidden by §MTerra Incognita§!. You will need an §MExplorer§! or a §MConquistador§! in order to move into Terra Incognita. To recruit Explorers or Conquistadors you need to first have unlocked the §MQuest for the New World§! idea."
 TUT_CAM_CHAPTER03_PAGE02_OBJECTIVES: "Select your fleet in §MAndalucia§! to continue." 
 TUT_CAM_CHAPTER03_PAGE03_TITLE: "§YTerra Incognita (3/8)§!"
 TUT_CAM_CHAPTER03_PAGE03_TEXT: "Explorers lead fleets while Conquistadors lead land armies. Your fleet is lead by Christopher Columbus who is an Explorer.\n\n§YOrder your ships into §MTerra Incognita§Y by right-clicking the area.\n\nRemember to unpause the game.§!"
 TUT_CAM_CHAPTER03_PAGE03_OBJECTIVES: "Have your fleet sail west and §Mfollow the Arrow§! to continue.§W"
 TUT_CAM_CHAPTER03_PAGE04_TITLE: "§YAttrition (4/8)§!"
 TUT_CAM_CHAPTER03_PAGE04_TEXT: "Exploration can be dangerous because of attrition. Whenever your ships are at sea and too for away for supply ships to reach them, they will suffer attrition damage. In a normal game you would have to explore more slowly, taking your ships back for repairs whenever necessary. For the tutorial, however, naval attrition is severely reduced."
 TUT_CAM_CHAPTER03_PAGE04_OBJECTIVES: "Have your fleet sail west and §Mfollow the Arrow§! to continue.§W"

 
